name,address,phone,website,GoogleMaps,postalCode
Flinton library,"3641 Flinton Rd, Flinton, ON K0H 1P0, Canada",(613) 336-1091,http://addingtonhighlandspubliclibrary.ca/,https://maps.google.com/?cid=9637002617853049901,K0H 1P0
Denbigh Public Library,"31 Central St, Denbigh, ON K0H 1L0, Canada",(613) 333-1426,http://www.addingtonhighlandspubliclibrary.ca/,https://maps.google.com/?cid=6991938564910807422,K0H 1L0
Essa Public Library: Angus Branch,"8505 County Rd 10 #1, Angus, ON L0M 1B1, Canada",(705) 424-6531,http://www.essa.library.on.ca/,https://maps.google.com/?cid=7494024751061174888,L0M 1B1
Essa Public Library: Thornton Branch,"34 Robert St, Thornton, ON L0L 2N0, Canada",(705) 458-2549,http://www.essa.library.on.ca/,https://maps.google.com/?cid=11041992917491799358,L0L 2N0
